0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:06:30 +0900] "GET /LectureSystem/List2.jsp HTTP/1.1" 200 915
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:06:32 +0900] "GET /LectureSystem/List3.jsp HTTP/1.1" 200 911
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:06:33 +0900] "GET /LectureSystem/List2.jsp HTTP/1.1" 200 915
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:06:33 +0900] "GET /LectureSystem/List1.jsp HTTP/1.1" 200 1216
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:06:34 +0900] "GET /LectureSystem/List3.jsp HTTP/1.1" 200 911
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:07:44 +0900] "GET /LectureSystem/MainLogin.jsp HTTP/1.1" 200 809
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:07:46 +0900] "POST /LectureSystem/FramesetPage.jsp HTTP/1.1" 200 444
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:07:46 +0900] "GET /LectureSystem/pptView.jsp HTTP/1.1" 200 285
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:07:46 +0900] "GET /LectureSystem/Meun.jsp HTTP/1.1" 200 576
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:07:46 +0900] "GET /LectureSystem/List1.jsp HTTP/1.1" 200 1216
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:07:50 +0900] "POST /LectureSystem/selectMove.jsp HTTP/1.1" 200 1222
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:07:52 +0900] "POST /LectureSystem/selectMove.jsp HTTP/1.1" 200 1215
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:07:53 +0900] "POST /LectureSystem/selectMove.jsp HTTP/1.1" 200 276
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:08:34 +0900] "POST /LectureSystem/FramesetPage.jsp HTTP/1.1" 200 444
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:08:34 +0900] "GET /LectureSystem/List1.jsp HTTP/1.1" 200 1216
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:08:34 +0900] "GET /LectureSystem/pptView.jsp HTTP/1.1" 200 285
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:08:34 +0900] "GET /LectureSystem/Meun.jsp HTTP/1.1" 200 576
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:08:36 +0900] "POST /LectureSystem/selectMove.jsp HTTP/1.1" 200 1216
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:08:37 +0900] "POST /LectureSystem/selectMove.jsp HTTP/1.1" 200 1222
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:08:39 +0900] "POST /LectureSystem/selectMove.jsp HTTP/1.1" 200 1215
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:08:40 +0900] "POST /LectureSystem/selectMove.jsp HTTP/1.1" 200 961
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:08:43 +0900] "POST /LectureSystem/selectMove.jsp HTTP/1.1" 200 961
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:08:45 +0900] "POST /LectureSystem/selectMove.jsp HTTP/1.1" 200 1215
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:08:46 +0900] "POST /LectureSystem/selectMove.jsp HTTP/1.1" 200 1222
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:08:47 +0900] "POST /LectureSystem/selectMove.jsp HTTP/1.1" 200 1222
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:08:49 +0900] "POST /LectureSystem/selectMove.jsp HTTP/1.1" 200 1215
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:10:02 +0900] "GET /LectureSystem/MainLogin.jsp HTTP/1.1" 200 809
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:10:05 +0900] "POST /LectureSystem/FramesetPage.jsp HTTP/1.1" 200 448
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:10:05 +0900] "GET /LectureSystem/List1.jsp HTTP/1.1" 200 1216
